#Drug	Gene	DrugBankID	SMILES
DB01752	Q99873	DB01752	N[C@@H](CCSC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O
DB08530	P27487	DB08530	NaN
DB00108	P05362	DB00108	NaN
DB01325	P00918	DB01325	CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O
DB02565	Q9BY41	DB02565	[H][C@@](O)(CCCCCCNC(=O)C1=CC=C(C=C1)N(C)C)N=O
DB00997	P16152	DB00997	COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DB05070	P41594	DB05070	NaN
DB00071	P48745	DB00071	NaN
DB04770	O00764	DB04770	[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(OCC2=CC=CC=C2)=N1
DB01174	P10632	DB01174	NaN
DB00679	P10632	DB00679	NaN
DB07644	Q96C86	DB07644	[H][C@@](C)(OC1=C2C(N)=NC(N)=NC2=CC=C1)C1=CC(Cl)=CC=C1
DB00334	P20309	DB00334	CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
DB07548	P00734	DB07548	CC1=CN=C(NCC(F)(F)C2=CC=CC=N2)C(=O)N1CC(=O)NCC1=C(F)C=CC=N1
DB02762	P12931	DB02762	OP(O)(=O)OC1=CC=CC2=CC=C(N=C12)C#N
DB00854	P41143	DB00854	[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
DB00221	P08588	DB00221	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00805	P11229	DB00805	CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1
DB01054	P24462	DB01054	NaN
DB07902	P53582	DB07902	CC(C)(C)OC(=O)NC1=C(N=CC=C1)C(=O)NC1=NC=CS1
DB07228	O14757	DB07228	[H][C@](C)(CN(C)C)OC1=CN=CC(NC(=O)NC2=C(OC)C=CC(Cl)=C2)=N1
DB00690	P11509	DB00690	NaN
DB00114	P11217	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB01621	P08684	DB01621	CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1
DB04767	P08709	DB04767	CCCS(=O)(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H](CCSC)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB00588	P08684	DB00588	[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB01168	Q16678	DB01168	CNNCC1=CC=C(C=C1)C(=O)NC(C)C
DB00348	P32754	DB00348	[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O
DB00295	P10632	DB00295	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB00435	P05177	DB00435	NaN
DB00393	Q13698	DB00393	NaN
DB06148	P28223	DB06148	NaN
DB05239	Q02750	DB05239	OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1
DB01179	P07437	DB01179	[H][C@]12COC(=O)[C@]1([H])[C@@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O
DB07778	O14957	DB07778	C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
DB05431	P09917	DB05431	NaN
DB07208	P37231	DB07208	[H][C@](O)(C\C=C/CCCCC)\C=C\CC(=O)CCCCC(O)=O
DB00818	P08684	DB00818	CC(C)C1=CC=CC(C(C)C)=C1O
DB00157	P07195	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB01050	P23219	DB01050	NaN
DB02078	P06241	DB02078	NaN
DB00176	P20815	DB00176	NaN
DB06923	P07477	DB06923	CC1=CC=CC(=C1)C1=CC2=C(N1)C=CC(=C2)C(N)=N
DB03385	P35218	DB03385	NaN
DB00543	Q9H3N8	DB00543	NaN
DB07195	Q15596	DB07195	[H][C@]1(C)C=C(C)[C@]2([H])[C@]([H])(C)[C@@]1(CO)CO[C@]2([H])C1=CC=C(O)C=C1
DB06144	P14416	DB06144	FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
DB05294	Q13882	DB05294	COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1
DB00125	P29474	DB00125	N[C@@H](CCCNC(N)=N)C(O)=O
DB00491	Q8TET4	DB00491	OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
DB00726	P08588	DB00726	NaN
DB00754	P33261	DB00754	CCN1C(=O)NC(C1=O)C1=CC=CC=C1
DB00046	P06213	DB00046	NaN
DB03088	O43612	DB03088	OC(=O)[C@H]1CCC(=O)N1
DB08232	P13726	DB08232	NC1=CC=C2NC(=CC2=N1)C1=CC(CC(O)=O)=CC(=C1O)C1=CC=CC(=C1)[N+]([O-])=O
DB01595	P28476	DB01595	[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1
DB08513	P35568	DB08513	CC1=CC(NC2=NC(NC3=CC=C(CC(O)=O)C=C3)=NC=C2C(N)=O)=CC=C1
DB07126	P20248	DB07126	NS(=O)(=O)C1=CC=C(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)C=C1
DB00142	Q14957	DB00142	N[C@@H](CCC(O)=O)C(O)=O
DB06414	P11712	DB06414	CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N
DB00119	O15403	DB00119	CC(=O)C(O)=O
DB00745	P33261	DB00745	NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DB01028	P11712	DB01028	NaN
DB06843	Q08462	DB06843	[H][C@]1(C)O[C@]([H])(C[C@]1([H])OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB00945	P11712	DB00945	CC(=O)OC1=CC=CC=C1C(O)=O
DB03365	P24941	DB03365	COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC
DB02616	P00813	DB02616	NC(N)=NC1=NC(=CS1)C1=CC=C(CNC2=NC3=C(N2)C=CC=C3)S1
DB03707	P29474	DB03707	NaN
DB07068	P23467	DB07068	CCOC(=O)C(CCNC(=O)OC(C)(C)C)(CC1=CC=C(NS(O)(=O)=O)C=C1)C(=O)OCC
DB00170	P00742	DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O
DB01071	P08684	DB01071	NaN
DB00342	P08173	DB00342	CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB00574	P10635	DB00574	NaN
DB07608	Q13627	DB07608	[H][C@@](CCN)(C(=O)NC1=CC=C2NN=C(NC(=O)C3=CC=CC=C3)C2=C1)C1=CC(Cl)=CC=C1
DB01215	Q9UN88	DB01215	ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
DB07149	P49841	DB07149	[H][C@]1(CCF)CNC(=O)C2=C1NC(=C2)C1=NC(N)=NC=C1
DB03893	P04406	DB03893	NC(=S)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O
DB00163	P78417	DB00163	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00824	P29275	DB00824	CCCN1C2=C(NC=N2)C(=O)NC1=O
DB00127	Q96F10	DB00127	NaN
DB03381	P07108	DB03381	CCCCCCCCCCCCCCCC=O
DB00216	P28221	DB00216	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00918	P31513	DB00918	CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
DB02659	P22830	DB02659	[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C
DB08018	P29474	DB08018	NaN
DB00321	P08908	DB00321	NaN
DB08157	P00915	DB08157	CCOC(=O)CCC1=CC=C(C=C1)S(N)(=O)=O
DB00925	P07550	DB00925	NaN
DB08236	O15144	DB08236	[H][C@]1(SCC(=O)N1C1=CC(Cl)=CC=C1O)C1=CC=CC(Br)=C1
DB01132	P08684	DB01132	CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
DB06803	P11712	DB06803	OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O
DB04471	P03372	DB04471	OC1=CC=C2[C@H](N(CCC2=C1)C1=CC=CC=C1)C1=CC=C(OCCN2CCCCC2)C=C1
DB01156	P11509	DB01156	CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
DB04295	P11217	DB04295	OC[C@@H]1O[C@H](NC(=O)NC(=O)C2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
DB00404	P14867	DB00404	CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
DB08059	P48736	DB08059	[H][C@@]12CCC(=O)[C@@]1(C)C[C@@]([H])(OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@]([H])(COC)[C@]13C
DB00142	O00341	DB00142	N[C@@H](CCC(O)=O)C(O)=O
DB00675	Q04759	DB00675	NaN
DB01889	Q14994	DB01889	[H][C@@]12CC=C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@]([H])(O)CC[C@]12C
DB03721	P11226	DB03721	CC(=O)N[C@H]1[C@H](O)C[C@](O)(O[C@@H]1[C@@H](O)[C@@H](O)CO)C(O)=O
DB08159	P11387	DB08159	OC(=O)CCCN1C2=C(C(=O)C3=CC=CC=C23)C2=CC=CC=C2C1=O
DB00912	P37231	DB00912	CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O
DB05166	Q8TDV5	DB05166	NaN
DB07982	P24941	DB07982	CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)N2CCN(CC2)C(=O)CO)=NC=C1
DB00962	P30536	DB00962	NaN
DB04089	P00918	DB04089	[H][C@]1(O)CN(CC2=CC=CS2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DB07557	P51857	DB07557	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O
DB06831	O00329	DB06831	COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1
DB07629	P00742	DB07629	[H][C@@]1(CCCC[C@@]1([H])NC(=O)C1=NC2=C(CN(C)CC2)S1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2
DB00457	P35368	DB00457	NaN
DB00216	P28222	DB00216	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00857	P08684	DB00857	NaN
DB01839	P00488	DB01839	CC(O)CO
DB07101	Q02750	DB07101	[H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1
DB00641	P08684	DB00641	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
DB00427	P35367	DB00427	NaN
DB00934	P28223	DB00934	NaN
DB00197	P20815	DB00197	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB01392	P41595	DB01392	[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2
DB08737	P03372	DB08737	[H][C@@]12CCC[C@]1([H])[C@@]([H])(OC1=CC=CC(O)=C21)C1=CC=C(O)C=C1
DB08896	P07949	DB08896	CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
DB00482	P08684	DB00482	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
DB00421	Q9H8P0	DB00421	[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
DB01038	P21918	DB01038	CCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCN2CCN(CCO)CC2)C=C1
DB01959	Q07343	DB01959	NaN
DB00246	P18825	DB00246	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB04566	Q8N142	DB04566	O[C@H]1[C@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
DB09128	P08908	DB09128	O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1
DB07049	P28845	DB07049	NaN
DB00703	P00918	DB00703	CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O
DB08515	P60900	DB08515	[H][C@](O)([C@@]1([H])CCCC=C1)[C@]1(NC(=O)[C@]2([H])CCO[C@]12C)C=O
DB00628	P18505	DB00628	OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
DB01105	Q01959	DB01105	NaN
DB01567	P34903	DB01567	NaN
DB08930	P20815	DB08930	[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2
DB00499	P20815	DB00499	CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
DB01017	P14780	DB01017	[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
DB08330	Q9UDW1	DB08330	NaN
DB09076	P20309	DB09076	NaN
DB00295	P16662	DB00295	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB01589	P18505	DB01589	FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
DB00773	P08684	DB00773	[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
DB01028	P98194	DB01028	NaN
DB01019	P08172	DB01019	NaN
DB04885	P46098	DB04885	CC1=NC=CN1C[C@H]1CCC2=C(C3=CC=CC4=C3N2CCC4)C1=O
DB01430	P05023	DB01430	FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1
DB05161	P24158	DB05161	NaN
DB03023	P07948	DB03023	CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1
DB08453	Q9UDW1	DB08453	CCCCCCCCCC1=[N+]([O-])C2=CC=CC=C2C(O)=C1
DB00446	P08684	DB00446	OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
DB05404	P04637	DB05404	NaN
DB06663	P35346	DB06663	NCCCC[C@@H]1NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(OCC3=CC=CC=C3)C=C2)NC1=O)OC(=O)NCCN)C1=CC=CC=C1
DB05014	P36888	DB05014	NaN
DB01227	P30926	DB01227	NaN
DB04821	P05164	DB04821	NaN
DB00620	P08684	DB00620	[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB01132	P33261	DB01132	CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
DB01238	P34969	DB01238	ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
DB00718	P22392	DB00718	CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
DB07556	P03956	DB07556	[H][C@](C(C)C)(N(CC1=CC=CN=C1)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO
DB00128	O75746	DB00128	N[C@@H](CC(O)=O)C(O)=O
DB00753	P98194	DB00753	NaN
DB02494	P55769	DB02494	[H][C@](O)(CC1=CC=CC=C1)C(O)=O
DB00780	Q16853	DB00780	NaN
DB00072	O75015	DB00072	NaN
DB00758	P10632	DB00758	NaN
DB00679	P05181	DB00679	NaN
DB03331	O14556	DB03331	COC1=CC(=CC(OC)=C1)C(=O)N[C@@H]1[C@@H](O)[C@H](CO)O[C@H]1N1C=NC2=C1N=CN=C2NCC1=CC=CC2=C1C=CC=C2
DB06933	P53779	DB06933	CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)C1=CN=C2C=CC=C(NC3=CC=CC=N3)C2=C1
DB01142	P18825	DB01142	NaN
DB01204	P08684	DB01204	OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1
DB00752	P21397	DB00752	NaN
DB00582	P31513	DB00582	C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB08124	P24941	DB08124	O=C1NC2=CC=C(C=C2\C1=C\NC1=CC2=C(CS(=O)(=O)C2)C=C1)C1=CN=CO1
DB06898	P03372	DB06898	CN1C(N)=NC2=C1C=C(C=N2)C1=CC=C(O)C=C1
DB08299	Q08499	DB08299	OC(=O)C1=CC=C(C=C1)C1=NC(C2=CC=CC(=C2)[N+]([O-])=O)=C2N=CC=CC2=C1
DB01136	P35368	DB01136	COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
DB07223	P07858	DB07223	[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@]1([H])O[C@]1([H])C(=O)NCCC)C(=O)N1CCC[C@@]1([H])C(=O)OC
DB08897	P08173	DB08897	OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1
DB00171	Q9Y4W6	DB00171	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB00675	P17252	DB00675	NaN
DB00599	Q16445	DB00599	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
DB00668	P18825	DB00668	CNC[C@H](O)C1=CC(O)=C(O)C=C1
DB00157	O75251	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00108	P12314	DB00108	NaN
DB00543	P35368	DB00543	NaN
DB00467	P05177	DB00467	CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1
DB00160	Q9UHI5	DB00160	C[C@H](N)C(O)=O
DB08553	P15056	DB08553	O\N=C1/CCC2=CC(=CC=C12)C1=CN(N=C1C1=CC=NC=C1)C1CCNCC1
DB04645	P11217	DB04645	CC1=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C=CC=C1OCCCCC(O)=O
DB01184	P20813	DB01184	ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2
DB07574	P68363	DB07574	[H][C@@]1(CCC2=C(C(OC)=C(OC)C(OC)=C2)C2=CC=C(OC)C(=O)C=C12)NC(=O)CS
DB00751	P35348	DB00751	NaN
DB07446	P39900	DB07446	NaN
DB08899	P10632	DB08899	CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F
DB00805	P31645	DB00805	CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1
DB00668	P05177	DB00668	CNC[C@H](O)C1=CC(O)=C(O)C=C1
DB00682	P33260	DB00682	CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
DB00755	P00352	DB00755	NaN
DB08624	P00734	DB08624	[H][C@](N)(CCCNC(N)=N)C(=O)C1=NC2=CC=CC=C2S1
DB00041	P47712	DB00041	NaN
DB03106	P04062	DB03106	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
DB08221	Q02763	DB08221	CC1=CC=C(NC(=O)C2=CC=CC(=C2)C(F)(F)F)C=C1NC1=NC=CC=C1C1=CC=NC=N1
DB00872	P37288	DB00872	CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
DB07860	P61925	DB07860	NaN
DB04975	P20813	DB04975	NaN
DB08236	O15143	DB08236	[H][C@]1(SCC(=O)N1C1=CC(Cl)=CC=C1O)C1=CC=CC(Br)=C1
DB00856	P47989	DB00856	OCC(O)COC1=CC=C(Cl)C=C1
DB00248	P28223	DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00580	P08684	DB00580	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
DB03849	Q07343	DB03849	COC1=CC=C(C=C1OC1CCCC1)[C@@]1(CC[C@@H](CC1)C(O)=O)C#N
DB00495	P04183	DB00495	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
DB01159	P03886	DB01159	NaN
DB01225	P00742	DB01225	NaN
DB04077	Q14643	DB04077	OCC(O)CO
DB07771	P49354	DB07771	CC(C)=CCC\C(C)=C\CC\C(C)=C\CONC(=O)CP(O)(O)=O
DB00201	Q13946	DB00201	NaN
DB00683	P05181	DB00683	NaN
DB07877	P07900	DB07877	CC(C)NCCCN1C(SC2=C(Br)C=C3OCOC3=C2)=NC2=C1N=CN=C2N
DB01248	P11137	DB01248	[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DB00514	P13498	DB00514	NaN
DB00796	P35503	DB00796	CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DB01996	P45452	DB01996	NaN
DB00829	P08684	DB00829	NaN
DB04967	P11388	DB04967	CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1
DB00162	Q8NBN7	DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00707	P12314	DB00707	NaN
DB03381	P08100	DB03381	CCCCCCCCCCCCCCCC=O
DB01591	P20309	DB01591	NaN
DB05715	Q16739	DB05715	NaN
DB00471	P11712	DB00471	OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1
DB08564	P12931	DB08564	CN(C)C\C=C\C(=O)NC1=CC=C2N=CN=C(NC3=CC(Br)=CC=C3)C2=C1
DB00157	O43920	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00641	P33261	DB00641	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
DB00031	P05120	DB00031	NaN
DB01229	P11137	DB01229	[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C
DB00580	P11712	DB00580	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
DB00532	P10635	DB00532	CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1
DB00774	Q13621	DB00774	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
DB07676	P49841	DB07676	[H][C@@](O)(CO)CCONC1=C(NC2=CC=CC=C12)C1=C2C=CC=CC2=NC1=O
DB00501	P11712	DB00501	C\N=C(\NCCSCC1=C(C)NC=N1)NC#N
DB00794	Q99928	DB00794	CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
DB00248	P08913	DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00114	P13196	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00142	P48664	DB00142	N[C@@H](CCC(O)=O)C(O)=O
DB01275	P13674	DB01275	NNC1=NN=CC2=CC=CC=C12
DB05655	Q13639	DB05655	NaN
DB06836	Q8NEB9	DB06836	CC(=O)\N=C1\NC(C)=C(S1)C1=CC(=C(Cl)C=C1)S(=O)(=O)NCCO
DB00996	P54289	DB00996	NCC1(CC(O)=O)CCCCC1
DB00112	P12314	DB00112	NaN
DB00215	P05177	DB00215	NaN
DB02379	Q6L8H2	DB02379	OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
DB05743	P28222	DB05743	NaN
DB00188	Q13200	DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00005	P31994	DB00005	NaN
DB05075	P35968	DB05075	NaN
DB00999	P55017	DB00999	NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DB01559	P28476	DB01559	NaN
DB01341	P14867	DB01341	NaN
